benchmark_number,name,iterations,cycles_per_tuple
0,bench0_unpack_0bw_8ow_8crw_1uf,3000000,1.00324
1,bench1_unpack_1bw_8ow_8crw_1uf,3000000,1.07648
2,bench2_unpack_2bw_8ow_8crw_1uf,3000000,1.17045
3,bench3_unpack_3bw_8ow_8crw_1uf,3000000,1.24319
4,bench4_unpack_4bw_8ow_8crw_1uf,3000000,1.34125
5,bench5_unpack_5bw_8ow_8crw_1uf,3000000,1.36324
6,bench6_unpack_6bw_8ow_8crw_1uf,3000000,1.40561
7,bench7_unpack_7bw_8ow_8crw_1uf,3000000,1.45827
8,bench8_unpack_8bw_8ow_8crw_1uf,3000000,1.55032
9,bench9_unpack_0bw_16ow_16crw_1uf,3000000,1.00307
10,bench10_unpack_1bw_16ow_16crw_1uf,3000000,1.02378
11,bench11_unpack_2bw_16ow_16crw_1uf,3000000,1.07442
12,bench12_unpack_3bw_16ow_16crw_1uf,3000000,1.11838
13,bench13_unpack_4bw_16ow_16crw_1uf,3000000,1.17021
14,bench14_unpack_5bw_16ow_16crw_1uf,3000000,1.21201
15,bench15_unpack_6bw_16ow_16crw_1uf,3000000,1.24962
16,bench16_unpack_7bw_16ow_16crw_1uf,3000000,1.29484
17,bench17_unpack_8bw_16ow_16crw_1uf,3000000,1.33912
18,bench18_unpack_9bw_16ow_16crw_1uf,3000000,1.328
19,bench19_unpack_10bw_16ow_16crw_1uf,3000000,1.34997
20,bench20_unpack_11bw_16ow_16crw_1uf,3000000,1.39392
21,bench21_unpack_12bw_16ow_16crw_1uf,3000000,1.41476
22,bench22_unpack_13bw_16ow_16crw_1uf,3000000,1.44206
23,bench23_unpack_14bw_16ow_16crw_1uf,3000000,1.4556
24,bench24_unpack_15bw_16ow_16crw_1uf,3000000,1.4885
25,bench25_unpack_16bw_16ow_16crw_1uf,3000000,1.54158
26,bench26_unpack_0bw_32ow_32crw_1uf,3000000,1.00038
27,bench27_unpack_1bw_32ow_32crw_1uf,3000000,1.00075
28,bench28_unpack_2bw_32ow_32crw_1uf,3000000,1.02525
29,bench29_unpack_3bw_32ow_32crw_1uf,3000000,1.04735
30,bench30_unpack_4bw_32ow_32crw_1uf,3000000,1.07088
31,bench31_unpack_5bw_32ow_32crw_1uf,3000000,1.09425
32,bench32_unpack_6bw_32ow_32crw_1uf,3000000,1.1176
33,bench33_unpack_7bw_32ow_32crw_1uf,3000000,1.14114
34,bench34_unpack_8bw_32ow_32crw_1uf,3000000,1.16562
35,bench35_unpack_9bw_32ow_32crw_1uf,3000000,1.18498
36,bench36_unpack_10bw_32ow_32crw_1uf,3000000,1.20919
37,bench37_unpack_11bw_32ow_32crw_1uf,3000000,1.22861
38,bench38_unpack_12bw_32ow_32crw_1uf,3000000,1.24873
39,bench39_unpack_13bw_32ow_32crw_1uf,3000000,1.26483
40,bench40_unpack_14bw_32ow_32crw_1uf,3000000,1.29451
41,bench41_unpack_15bw_32ow_32crw_1uf,3000000,1.31135
42,bench42_unpack_16bw_32ow_32crw_1uf,3000000,1.35281
43,bench43_unpack_17bw_32ow_32crw_1uf,3000000,1.34299
44,bench44_unpack_18bw_32ow_32crw_1uf,3000000,1.35247
45,bench45_unpack_19bw_32ow_32crw_1uf,3000000,1.36123
46,bench46_unpack_20bw_32ow_32crw_1uf,3000000,1.38074
47,bench47_unpack_21bw_32ow_32crw_1uf,3000000,1.38841
48,bench48_unpack_22bw_32ow_32crw_1uf,3000000,1.40421
49,bench49_unpack_23bw_32ow_32crw_1uf,3000000,1.4322
50,bench50_unpack_24bw_32ow_32crw_1uf,3000000,1.44844
51,bench51_unpack_25bw_32ow_32crw_1uf,3000000,1.45844
52,bench52_unpack_26bw_32ow_32crw_1uf,3000000,1.47307
53,bench53_unpack_27bw_32ow_32crw_1uf,3000000,1.50166
54,bench54_unpack_28bw_32ow_32crw_1uf,3000000,1.52323
55,bench55_unpack_29bw_32ow_32crw_1uf,3000000,1.53233
56,bench56_unpack_30bw_32ow_32crw_1uf,3000000,1.55215
57,bench57_unpack_31bw_32ow_32crw_1uf,3000000,1.56553
58,bench58_unpack_32bw_32ow_32crw_1uf,3000000,1.58638
59,bench59_unpack_0bw_64ow_64crw_1uf,3000000,1.00163
60,bench60_unpack_1bw_64ow_64crw_1uf,3000000,1.00069
61,bench61_unpack_2bw_64ow_64crw_1uf,3000000,1.00091
62,bench62_unpack_3bw_64ow_64crw_1uf,3000000,1.00878
63,bench63_unpack_4bw_64ow_64crw_1uf,3000000,1.02422
64,bench64_unpack_5bw_64ow_64crw_1uf,3000000,1.03218
65,bench65_unpack_6bw_64ow_64crw_1uf,3000000,1.04811
66,bench66_unpack_7bw_64ow_64crw_1uf,3000000,1.05795
67,bench67_unpack_8bw_64ow_64crw_1uf,3000000,1.07251
68,bench68_unpack_9bw_64ow_64crw_1uf,3000000,1.07987
69,bench69_unpack_10bw_64ow_64crw_1uf,3000000,1.09533
70,bench70_unpack_11bw_64ow_64crw_1uf,3000000,1.10485
71,bench71_unpack_12bw_64ow_64crw_1uf,3000000,1.11996
72,bench72_unpack_13bw_64ow_64crw_1uf,3000000,1.13048
73,bench73_unpack_14bw_64ow_64crw_1uf,3000000,1.14322
74,bench74_unpack_15bw_64ow_64crw_1uf,3000000,1.1533
75,bench75_unpack_16bw_64ow_64crw_1uf,3000000,1.16833
76,bench76_unpack_17bw_64ow_64crw_1uf,3000000,1.18126
77,bench77_unpack_18bw_64ow_64crw_1uf,3000000,1.19226
78,bench78_unpack_19bw_64ow_64crw_1uf,3000000,1.20518
79,bench79_unpack_20bw_64ow_64crw_1uf,3000000,1.2138
80,bench80_unpack_21bw_64ow_64crw_1uf,3000000,1.22733
81,bench81_unpack_22bw_64ow_64crw_1uf,3000000,1.24055
82,bench82_unpack_23bw_64ow_64crw_1uf,3000000,1.25464
83,bench83_unpack_24bw_64ow_64crw_1uf,3000000,1.26512
84,bench84_unpack_25bw_64ow_64crw_1uf,3000000,1.2756
85,bench85_unpack_26bw_64ow_64crw_1uf,3000000,1.2887
86,bench86_unpack_27bw_64ow_64crw_1uf,3000000,1.29959
87,bench87_unpack_28bw_64ow_64crw_1uf,3000000,1.31524
88,bench88_unpack_29bw_64ow_64crw_1uf,3000000,1.32454
89,bench89_unpack_30bw_64ow_64crw_1uf,3000000,1.33912
90,bench90_unpack_31bw_64ow_64crw_1uf,3000000,1.35371
91,bench91_unpack_32bw_64ow_64crw_1uf,3000000,1.37206
92,bench92_unpack_33bw_64ow_64crw_1uf,3000000,1.37508
93,bench93_unpack_34bw_64ow_64crw_1uf,3000000,1.38636
94,bench94_unpack_35bw_64ow_64crw_1uf,3000000,1.39329
95,bench95_unpack_36bw_64ow_64crw_1uf,3000000,1.40382
96,bench96_unpack_37bw_64ow_64crw_1uf,3000000,1.41682
97,bench97_unpack_38bw_64ow_64crw_1uf,3000000,1.42645
98,bench98_unpack_39bw_64ow_64crw_1uf,3000000,1.43795
99,bench99_unpack_40bw_64ow_64crw_1uf,3000000,1.45073
100,bench100_unpack_41bw_64ow_64crw_1uf,3000000,1.46219
101,bench101_unpack_42bw_64ow_64crw_1uf,3000000,1.47184
102,bench102_unpack_43bw_64ow_64crw_1uf,3000000,1.48311
103,bench103_unpack_44bw_64ow_64crw_1uf,3000000,1.4966
104,bench104_unpack_45bw_64ow_64crw_1uf,3000000,1.51116
105,bench105_unpack_46bw_64ow_64crw_1uf,3000000,1.52574
106,bench106_unpack_47bw_64ow_64crw_1uf,3000000,1.54076
107,bench107_unpack_48bw_64ow_64crw_1uf,3000000,1.54767
108,bench108_unpack_49bw_64ow_64crw_1uf,3000000,1.56158
109,bench109_unpack_50bw_64ow_64crw_1uf,3000000,1.57079
110,bench110_unpack_51bw_64ow_64crw_1uf,3000000,1.57738
111,bench111_unpack_52bw_64ow_64crw_1uf,3000000,1.59334
112,bench112_unpack_53bw_64ow_64crw_1uf,3000000,1.60925
113,bench113_unpack_54bw_64ow_64crw_1uf,3000000,1.6292
114,bench114_unpack_55bw_64ow_64crw_1uf,3000000,1.63173
115,bench115_unpack_56bw_64ow_64crw_1uf,3000000,1.64828
116,bench116_unpack_57bw_64ow_64crw_1uf,3000000,1.6686
117,bench117_unpack_58bw_64ow_64crw_1uf,3000000,1.6758
118,bench118_unpack_59bw_64ow_64crw_1uf,3000000,1.6885
119,bench119_unpack_60bw_64ow_64crw_1uf,3000000,1.69619
120,bench120_unpack_61bw_64ow_64crw_1uf,3000000,1.70977
121,bench121_unpack_62bw_64ow_64crw_1uf,3000000,1.72883
122,bench122_unpack_63bw_64ow_64crw_1uf,3000000,1.74911
123,bench123_unpack_64bw_64ow_64crw_1uf,3000000,1.76529
